dl1,dl2,dl3,x_pcc,y_pcc,z_pcc,x_real,y_real,z_real,dx,dy,dz
0.0,8.012252,0.0,-47.144873,-27.219105,89.302868,-64.566565,-18.44312,70.316972,-17.421692,8.775985,-18.985895
0.0,0.0,6.060866,37.046729,-21.388939,97.989497,47.797158,-25.496918,90.749844,10.750429,-4.107979,-7.239652
4.304769,0.0,8.595595,51.935493,0.048638,91.457319,70.024268,7.855226,73.263711,18.088775,7.806588,-18.193608
0.14546,0.0,5.688823,35.031416,-19.191093,99.646991,44.509784,-22.634066,93.45292,9.478367,-3.442972,-6.194071
9.711596,0.0,0.0,0.0,63.11947,80.151929,-21.937859,76.18701,51.912746,-21.937859,13.06754,-28.239183
0.0,4.311396,1.869714,-15.464736,-22.60265,105.314498,-21.773834,-23.282798,102.522725,-6.309098,-0.680148,-2.791773
1.704809,0.0,0.0,0.0,12.512277,109.045369,-0.965305,14.599733,108.919312,-0.965305,2.087455,-0.126057
0.0,0.225913,0.0,-1.435617,-0.828854,109.983344,-1.549147,0.781935,112.645619,-0.113529,1.610789,2.662276
2.405053,0.0,0.684094,4.355217,15.165756,108.476325,5.868972,17.73604,108.014799,1.513754,2.570285,-0.461526
0.0,0.175735,0.0,-1.11661,-0.644675,109.989924,-0.566191,0.71248,109.763096,0.550419,1.357155,-0.226828
2.950028,0.0,6.398177,39.838371,-1.790683,99.683265,52.484465,3.788161,91.277877,12.646094,5.578845,-8.405389
0.0,0.0,2.706541,17.140624,-9.896144,107.588839,20.638272,-10.482314,108.325696,3.497648,-0.58617,0.736856
1.89045,0.0,0.0,0.0,13.868658,108.825525,-0.76362,16.075604,109.117677,-0.76362,2.206946,0.292152
0.0,1.886634,2.477835,3.775957,-16.093948,108.325961,4.762023,-18.831008,109.317268,0.986067,-2.737059,0.991307
4.336318,0.0,3.509484,22.272202,18.917948,104.641733,25.3584,28.675876,101.179252,3.086198,9.757927,-3.462482
0.741002,0.431993,0.0,-2.751601,3.861378,109.86363,-2.815235,4.62183,109.532873,-0.063634,0.760452,-0.330757
0.0,0.0,9.147502,52.314955,-30.204054,83.337029,66.676339,-36.119938,59.18029,14.361383,-5.915885,-24.156739
8.284286,0.211099,0.0,-1.238218,55.394361,88.417435,-16.345746,69.284744,70.574346,-15.107528,13.890383,-17.843089
0.0,7.846606,4.356634,-21.360471,-43.122452,94.41468,-40.816837,-48.563952,80.610414,-19.456365,-5.441501,-13.804266
0.0,4.812649,6.069718,7.860758,-39.288734,99.577835,4.621918,-52.799897,91.877678,-3.23884,-13.511163,-7.700157
0.0,6.195425,0.0,-37.786012,-21.815764,97.459341,-50.249626,-16.98711,89.386133,-12.463613,4.828654,-8.073208
0.0,8.490132,0.0,-49.390669,-28.515716,86.867332,-68.030989,-17.483247,65.521699,-18.64032,11.032469,-21.345633
0.0,0.0,0.857446,5.453721,-3.148707,109.759283,6.545028,-1.455121,111.945818,1.091307,1.693587,2.186535
0.0,4.584385,2.236746,-14.857034,-24.922793,104.720157,-20.025633,-27.539005,101.461606,-5.168599,-2.616212,-3.258551
0.074272,0.0,0.801706,5.100594,-2.399198,109.807205,7.314418,-1.7052,109.975035,2.213823,0.693999,0.167831
4.813007,0.0,0.0,0.0,34.569672,102.387987,-4.291044,41.809094,99.703167,-4.291044,7.239422,-2.684819
1.632903,0.0,0.0,0.0,11.986238,109.124394,1.013199,13.455509,108.891083,1.013199,1.469272,-0.233311
4.351188,0.0,6.180847,38.646039,9.102489,99.780427,50.841726,19.294752,91.48189,12.195687,10.192262,-8.298537
0.0,0.0,9.998952,55.799302,-32.215742,78.477615,68.486239,-37.814494,47.063582,12.686937,-5.598752,-31.414033
3.368927,0.0,4.120827,26.183778,9.600535,105.135596,31.4478,17.171484,103.302802,5.264022,7.570949,-1.832793
0.0,3.618953,8.682755,30.466771,-42.732125,91.002991,35.162896,-59.329999,71.626839,4.696125,-16.597874,-19.376152
0.0,9.223821,0.0,-52.641554,-30.392616,82.914263,-74.246207,-16.79412,57.380601,-21.604653,13.598496,-25.533661
0.0,9.36814,3.654788,-33.888945,-44.597977,87.850289,-57.753663,-42.0447,65.276012,-23.864718,2.553277,-22.574277
9.043152,0.0,0.0,0.0,59.887365,83.91082,-18.498051,73.311017,60.631764,-18.498051,13.423652,-23.279056
0.0,3.989022,9.402839,32.144795,-45.907892,87.821664,35.897425,-63.365566,64.19839,3.75263,-17.457674,-23.623274
0.0,5.060554,0.0,-31.381989,-18.1184,101.591164,-40.662516,-14.91327,97.234008,-9.280527,3.20513,-4.357156
5.223369,0.331015,0.0,-2.055424,36.26521,101.548486,-7.310463,43.74753,96.783157,-5.255039,7.48232,-4.765329
0.0,8.574998,1.532038,-41.754676,-34.594981,89.494279,-60.863215,-27.033273,71.006132,-19.108539,7.561708,-18.488147
4.536576,0.0,4.168022,26.388015,17.929435,103.568005,31.211464,27.27236,99.529352,4.823449,9.342925,-4.038653
0.81324,0.0,0.0,0.0,5.972607,109.783508,1.961491,6.498578,111.064636,1.961491,0.525971,1.281129
0.0,2.832345,0.0,-17.925205,-10.349122,107.35913,-20.941846,-9.898423,106.425568,-3.016641,0.450699,-0.933562
9.771224,0.0,0.0,0.0,63.395628,79.80729,-20.710767,76.74605,51.719827,-20.710767,13.350422,-28.087463
0.0,1.365808,0.0,-8.685851,-5.014779,109.387967,-7.416254,-3.843852,110.20369,1.269597,1.170927,0.815722
0.0,8.037588,9.861186,10.659586,-60.40514,82.282723,-4.524009,-77.393076,45.527659,-15.183595,-16.987936,-36.755064
4.380707,7.986652,0.0,-48.77509,2.731753,93.877618,-63.909595,12.326056,78.442496,-15.134506,9.594304,-15.435122
0.0,0.0,5.057425,31.363834,-18.107918,101.601474,39.441673,-20.927008,96.919106,8.077839,-2.81909,-4.682368
0.0,0.0,5.156501,31.937394,-18.439063,101.272106,39.062601,-22.109984,96.448236,7.125207,-3.670921,-4.82387
0.0,7.847445,3.975506,-23.68095,-41.748016,94.506427,-43.660212,-45.765086,79.535338,-19.979262,-4.01707,-14.971089
0.98316,0.0,0.0,0.0,7.220975,109.683347,0.865908,7.757745,109.39888,0.865908,0.53677,-0.284467
0.0,4.093067,0.0,-25.657925,-14.81361,104.486543,-30.729597,-13.740243,102.314745,-5.071672,1.073367,-2.171798
2.866506,0.0,5.214963,32.882972,1.885947,103.123941,42.177439,6.89297,97.75555,9.294467,5.007023,-5.368392
0.0,5.727767,0.01654,-35.097613,-20.380984,99.284786,-46.441936,-16.783715,94.842915,-11.344324,3.597269,-4.441871
0.0,0.0,5.615774,34.561607,-19.954153,99.666718,44.626252,-23.058423,93.660066,10.064644,-3.10427,-6.006652
0.0,0.0,2.833026,17.929452,-10.351574,107.357857,21.685137,-11.711812,107.896222,3.755685,-1.360238,0.538365
4.231207,0.0,0.315167,1.978532,29.529255,104.498801,-0.909838,36.98033,102.773104,-2.88837,7.451075,-1.725698
1.695711,6.488775,0.0,-40.067504,-11.042304,98.719979,-51.654992,-6.535361,90.934136,-11.587488,4.506943,-7.785843
0.0,0.0,2.490334,15.787906,-9.115152,107.959284,19.32553,-8.369877,107.594995,3.537624,0.745275,-0.364289
0.0,7.191301,0.0,-43.067854,-24.865237,93.212558,-60.438329,-19.822689,80.705372,-17.370475,5.042548,-12.507186
0.0,6.976899,0.0,-41.960334,-24.22581,94.173968,-56.001995,-18.910504,81.392655,-14.041661,5.315306,-12.781313
0.0,2.28455,9.89232,44.041214,-40.698366,83.824315,54.484102,-54.206284,56.685896,10.442887,-13.507918,-27.138419
8.491387,0.0,5.460888,33.077416,40.293159,91.295355,29.534241,65.677696,71.272814,-3.543176,25.384537,-20.022541
7.54568,0.0,0.0,0.0,51.800362,91.568614,-11.320995,65.920842,76.341952,-11.320995,14.12048,-15.226662
4.282,0.0,7.184763,44.398602,4.920796,96.79394,58.133049,15.163713,84.397648,13.734448,10.242917,-12.396292
2.024099,0.0,8.820637,52.279632,-16.330984,89.002415,69.894293,-15.662097,69.404211,17.614661,0.668887,-19.598204
3.892355,0.0,1.347914,8.54369,23.555509,106.097846,8.307153,29.549591,104.239283,-0.236537,5.994082,-1.858563
