target_index,method,source_dl1,source_dl2,source_dl3,target_x,target_y,target_z,ik_dl1,ik_dl2,ik_dl3,ik_dl_norm,ik_forward_x,ik_forward_y,ik_forward_z,ik_residual_norm,reached_x,reached_y,reached_z,err_x,err_y,err_z,err_norm,active_tendons,active_set,solver,nfev,success
0,PCC IK,8.585979199113824,0.0,6.973680290593639,42.58243241460776,38.25399928485052,87.65004929475532,9.040880731798056,0.0,7.074267215946494,11.479668159368229,42.215814108188454,37.9246471015884,87.14339512939712,0.7068099366138683,42.74629648350874,40.93921424048143,85.7049359569149,0.1638640689009847,2.6852149556309044,-1.945113337840425,3.319743467207276,1 3,1 3,scipy.least_squares,5,True
0,PCC+NN IK,8.585979199113824,0.0,6.973680290593639,42.58243241460776,38.25399928485052,87.65004929475532,8.589687837343185,0.0,6.977299938407133,11.066410961711915,42.55475015266914,38.22942539494818,87.61157851612865,0.05338711922470753,42.60093380507243,38.26609334727236,87.62894880913682,0.01850139046467092,0.012094062421837748,-0.021100485618504194,0.03055811329788255,1 3,1 3,scipy.least_squares,16,True
1,PCC IK,0.0,9.756223516367559,0.0,-56.682420626713686,-29.960185483311555,78.30411160174567,0.3254283453370516,9.999999999999998,0.0,10.005293779192533,-56.128984579057786,-30.296912673890358,79.316046977157,1.2015364595920253,-57.96098049257213,-28.54430384725536,77.64450759018871,-1.2785598658584476,1.415881636056195,-0.659604011556965,2.018542441953396,1 2,1 2,scipy.least_squares,13,True
1,PCC+NN IK,0.0,9.756223516367559,0.0,-56.682420626713686,-29.960185483311555,78.30411160174567,0.0,9.760193289719819,0.0,9.760193289719819,-56.68824886412321,-29.9535421101488,78.30601356156531,0.009039923087997368,-56.699392969424416,-29.968206143795236,78.27908868967972,-0.016972342710730004,-0.00802066048368033,-0.025022912065949754,0.03128158467765332,2,2,scipy.least_squares,16,True
2,PCC IK,0.0,1.2811363267554587,4.503859378955672,21.040685598554038,-20.979900249308226,104.7504613914916,0.0,1.2098642200380756,4.538023747106052,4.696533930488184,20.97001025971003,-20.909429102940752,104.49193107022347,0.27712652887455846,21.70655497491129,-20.825132134815973,104.61223935684092,0.6658693763572501,0.1547681144922528,-0.13822203465068128,0.6974528847863878,2 3,2 3,scipy.least_squares,7,True
2,PCC+NN IK,0.0,1.2811363267554587,4.503859378955672,21.040685598554038,-20.979900249308226,104.7504613914916,0.0,1.277762162178715,4.497624554341591,4.675607209220212,21.03375412503269,-20.972645891518734,104.72505109517772,0.027319483722688692,21.023099502434732,-20.944384756485142,104.76511223876541,-0.01758609611930595,0.03551549282308386,0.014650847273813383,0.04225243582356636,2 3,2 3,scipy.least_squares,19,True
3,PCC IK,0.0,0.0,9.267649888486018,54.54532154456724,-30.70308094219573,81.32394894428478,0.12019678824014499,0.0,9.598902152750245,9.59965467118357,54.32071428369967,-30.57665144972624,81.10935909454642,0.3353828287364384,56.09580790871672,-30.763598600598293,79.61664097914638,1.550486364149485,-0.06051765840256351,-1.7073079651383978,2.307069751918445,1 3,1 3,scipy.least_squares,5,True
3,PCC+NN IK,0.0,0.0,9.267649888486018,54.54532154456724,-30.70308094219573,81.32394894428478,0.0,3.4831657804942583e-16,9.270389242481551,9.270389242481551,54.54090937916018,-30.733000245145927,81.3332932098779,0.031653549438879304,54.55724811159606,-30.70996674888032,81.30735499865867,0.011926567028822888,-0.006885806684589824,-0.016593945626112827,0.02156423813244827,3,2 3,scipy.least_squares,29,True
4,PCC IK,4.4341419882733115,0.0,2.272387217847769,14.755492967471657,25.25497072188554,105.18792993922655,4.591924974460384,0.0,2.3165123700727053,5.143151225831578,14.6626999477981,25.096149510128182,104.70108713229206,0.5204331277580881,15.001188713149062,26.261495329845534,104.81152501741504,0.2456957456774056,1.0065246079599923,-0.3764049218115133,1.1023333665624588,1 3,1 3,scipy.least_squares,5,True
4,PCC+NN IK,4.4341419882733115,0.0,2.272387217847769,14.755492967471657,25.25497072188554,105.18792993922655,4.441733565513606,0.0,2.26766316608285,4.9871127219884555,14.757257298260296,25.257943999966802,105.19742545998761,0.010105353046976415,14.722457977372793,25.32750905666342,105.17071006347919,-0.033034990098864014,0.07253833477787808,-0.01721987574735806,0.08154535366244976,1 3,1 3,scipy.least_squares,19,True
5,PCC IK,0.0,0.6381725610417532,8.27631171992582,46.548371585902814,-30.678388438700534,88.52886768853787,0.0,0.5588852646540333,8.456451612165555,8.47489979928641,46.36988757002529,-30.5607559060003,88.29956793873053,0.313484181315338,47.876311537098935,-30.85715280890215,87.38052048050366,1.3279399511961216,-0.17876437020161617,-1.1483472080342096,1.7646763227958555,2 3,2 3,scipy.least_squares,9,True
5,PCC+NN IK,0.0,0.6381725610417532,8.27631171992582,46.548371585902814,-30.678388438700534,88.52886768853787,0.0,0.6482062862115461,8.286421136209558,8.311735476788508,46.56557418658005,-30.690049745970697,88.5519428776329,0.031054466813661023,46.54409762169367,-30.747864934759605,88.49571678052193,-0.004273964209140502,-0.06947649605907102,-0.03315090801594067,0.07709885198229922,2 3,2 3,scipy.least_squares,25,True
6,PCC IK,3.545259681298684,9.706980243949033,0.0,-58.32152709437048,-7.35876942886401,84.79738383913316,3.9013246317460295,9.98474572436593,0.0,10.71986385466308,-58.46670877504974,-7.377087849139979,84.93641067958242,0.2018458503204004,-59.72717960440186,-5.799740415883489,83.47224136122506,-1.4056525100313806,1.5590290129805204,-1.325142477908102,2.482424828474965,1 2,1 2,scipy.least_squares,5,True
6,PCC+NN IK,3.545259681298684,9.706980243949033,0.0,-58.32152709437048,-7.35876942886401,84.79738383913316,3.5448546944558306,9.710150520248813,0.0,10.336973344780079,-58.331583900008916,-7.359951131704273,84.80709430667238,0.014029573802586296,-58.336518379306646,-7.370889655586149,84.779779018741,-0.014991284936165528,-0.012120226722139193,-0.017604820392165266,0.026106861566909157,1 2,1 2,scipy.least_squares,29,True
7,PCC IK,0.0,7.783834970737619,1.9463870785196757,-36.59588907067705,-33.30240437595737,93.15973277591549,0.0,7.8273966674370525,1.750633713851256,8.020776582693058,-36.683014811973045,-33.38168914928704,93.31387196305553,0.1939996368308643,-37.961192096431255,-32.61999505855057,92.71184520994154,-1.3653030257542014,0.6824093174068011,-0.44788756597394297,1.5907036494492797,2 3,2 3,scipy.least_squares,7,True
7,PCC+NN IK,0.0,7.783834970737619,1.9463870785196757,-36.59588907067705,-33.30240437595737,93.15973277591549,0.0,7.782428901003919,1.9343583290520758,8.01922326315674,-36.56581127777708,-33.27497629706941,93.10702057620715,0.06659991843320746,-36.65669936393273,-33.24958828583195,93.15237792165111,-0.06081029325567755,0.05281609012542532,-0.007354854264377764,0.08087969475232203,2 3,2 3,scipy.least_squares,22,True
